rang;name;nation;member_id;punkte
1;FrantišEk VRCHOTICKÝ;CZE;99080;700
2;Nikhil Deepak PULIKKOTTIL;ENG;11420;615
2;Phil DANIEL;ENG;26540;615
4;Maks TRAMPUŽ;SLO;43447;610
4;Din MAŠIĆ;SLO;20423;610
6;Marko ŠURINA;CRO;33883;590
7;Valentin LANG;GER;29885;570
8;Tin RADOVANOVIĆ;CRO;19727;550
9;Kaspar SORGE;EST;64157;550
9;Marten PÕDER;EST;49711;550
11;Tomáš KLAPAL;CZE;19643;550
12;Kilian SCHERER;GER;46136;450
13;Rik DE BACKER;BEL;33441;440
14;Nagasharan Podala VENGATESH;NED;25801;420
15;Magno SALAS;ESP;48027;400
16;Akseli HÄMEENHEIMO;FIN;47686;340
17;Seppe DAEMERS;BEL;34247;340
17;Guillermo MUÑOZ;ESP;20110;340
19;Konrad BECHTER;AUT;47765;325
20;Farin RICHARD;SUI;31765;325
21;Hannes MERGET;GER;25448;310
22;Albert LEIS;EST;37926;305
23;Lorys CHIPIER;SUI;19103;300
24;Yutong HE;GER;25337;300
25;Jason DE GRAAF;NED;21501;300
26;Alex PATAKI;HUN;35094;290
26;Zalan JUHASZ;HUN;27476;290
28;Karl Maximilian WEYAND;GER;42069;285
29;Kan EMURLAH;BUL;29649;280
30;Feliks GETKA;POL;27850;280
31;Paul PILLARD;FRA;34392;280
32;Andrei Victor VIZI;ROU;32837;275
33;Nathan NGUYEN;SUI;61877;265
34;Andre LOOSKARI;EST;34123;260
35;Moritz BÜRGER;AUT;48875;255
36;Gleb STEPANZOW;GER;22597;255
37;Jakub FOTTA;SVK;18248;251
38;Maxim IACOB;ROU;18600;250
39;Tadas RIMKUS;LTU;49065;245
40;Artur PLAISANT;GER;70288;240
40;Oskars BAJARS;LAT;28224;240
40;Daniel TANKEVIC;LTU;35260;240
40;Ignas MARTYSIUS;LTU;41816;240
44;Isak MELLERI;FIN;45207;240
44;Roman KARATANOV;UKR;17381;240
44;Ihor BELINSKYI;UKR;24083;240
44;Martin ANQUETIL;FRA;44796;240
48;Malte JØRGENSEN;DEN;33977;230
49;Filip LISKA;LUX;36063;225
