rang;name;nation;member_id;punkte
1;Nikhil Deepak PULIKKOTTIL;ENG;11420;600
2;Andre LOOSKARI;EST;34123;580
3;Maxim IACOB;ROU;18600;500
4;Nathan NGUYEN;SUI;61877;410
5;FrantišEk VRCHOTICKÝ;CZE;99080;385
6;Kilian SCHERER;GER;46136;370
7;Kaspar SORGE;EST;64157;320
8;Marko ŠURINA;CRO;33883;295
9;Ioannis SAROUGIANNIDIS;GRE;43829;290
10;Valentin LANG;GER;29885;280
11;Alex PATAKI;HUN;35094;275
12;Seppe DAEMERS;BEL;34247;265
13;Sathvik SHANKAR;GER;83989;260
14;Nagasharan Podala VENGATESH;NED;25801;260
15;Yutong HE;GER;25337;255
16;Isak MELLERI;FIN;45207;250
16;Axel BOESEN;DEN;20285;250
18;Moritz VOGEL;AUT;64286;250
19;Daniel TANKEVIC;LTU;35260;249
20;Din MAŠIĆ;SLO;20423;247
21;Albert LEIS;EST;37926;240
22;Guillermo MUÑOZ;ESP;20110;240
23;Rafael GUILLOCHIN;FRA;45621;220
24;Lorys CHIPIER;SUI;19103;219
25;Frederik VOLKERT;GER;29069;216
26;Rokas KRUMINAS;LTU;47976;215
27;Vadym SAPOZHNYKOV;UKR;33789;210
28;Kacper GRABARZ;POL;32807;205
29;Filip LISKA;LUX;36063;205
30;Savvas SAVVIDES;CYP;44623;200
31;Rhys WILLIAMS;ENG;47385;200
32;Konrad BECHTER;AUT;47765;193
33;Feliks GETKA;POL;27850;190
33;Ethan FEAKIN;ENG;48700;190
35;Soren MARION GOTHSENER;FRA;26212;190
35;Casper BOHLIN;SWE;21491;190
37;Petar MITEV;BUL;47038;185
38;Hugo GALLEGO;ESP;44306;184
39;Tim BREGAR;SLO;22197;180
39;Karel VAHALÍK;CZE;29192;180
41;Martin ZHANG;AUT;88146;175
42;Maciej SKOWRONSKI;ENG;32637;170
43;Jason DE GRAAF;NED;21501;170
44;Yusuf Mohammad BILAL;ENG;19076;165
45;Naim EL KHADERY-PERRON;FRA;41423;161
46;Jakub FOTTA;SVK;18248;159
47;Esteyban SAINTHUILE;FRA;43824;156
48;Gleb STEPANZOW;GER;22597;154
49;Maks TRAMPUŽ;SLO;43447;151
50;Tamas TOTH;HUN;39847;150
51;Malte JØRGENSEN;DEN;33977;150
52;Ian BAUMANN;GER;27972;150
53;Lovis DETERS;GER;47019;150
54;Tomáš KLAPAL;CZE;19643;145
55;KristiáN BÍBA;CZE;20109;140
56;Pawel PAULEWICZ;POL;15885;140
57;Ismael BOUCHIKHI;FRA;33201;135
58;Tejas VENUGOPAL;ENG;23628;135
59;Artur PLAISANT;GER;70288;133
60;Ignas MARTYSIUS;LTU;41816;130
61;Evan PINCEBOURDE;FRA;18934;130
62;Furkan KUCUK;TUR;46042;130
63;Timo REICHEL;GER;49106;124
64;Andrey MARCOV;BUL;37362;120
65;Ludvig MARMSTEN;SWE;35639;120
65;Anton MARCHAND KEMMO;SWE;42527;120
67;Moritz BÜRGER;AUT;48875;115
68;Ostap DEMCHENKO;UKR;42976;115
69;Arnas JARMALAUSKAS;LTU;45665;115
69;Hareesh BOOPATHY;GER;22922;115
69;Ranesh PATTNAIK;ENG;15904;115
72;Oliver LIANG;HUN;42915;111
73;Michal VYBÍRAL;CZE;27265;110
74;Oskars BAJARS;LAT;28224;105
75;Anton BILCHEV;BUL;31303;105
76;Vakaris PUIDOKAS;LTU;28395;104
77;Lovro MATOVINA;CRO;22487;104
77;Arjun BHATTIPROLU;ENG;43090;104
79;Karl Maximilian WEYAND;GER;42069;100
80;Samarth PARASHAR;ENG;41076;100
81;Magno SALAS;ESP;48027;100
