rang;name;nation;member_id;punkte
1;Maja PASZEK;POL;36098;630
2;Michaela FEDORKOVÁ;CZE;45392;600
2;Sofia KERPLOVÁ;CZE;45028;600
4;Mutiara MANDALA;ENG;26367;550
5;Tea REBESCO;CRO;40379;530
5;Jelena ČOVIĆ;CRO;30604;530
7;Kiara VAR;SUI;22216;525
8;Maria POPOV;BUL;15886;490
9;Sophie DELARUE;BEL;22339;460
10;Ella GERMANN;SUI;66712;405
11;Liliana SARLAYOVA;SVK;43770;400
12;Vedanshi JAIN;ENG;36359;400
13;Gaelle DE CUYPER;BEL;20845;395
14;Elza SANDOR;HUN;41590;380
15;Lucie DESLANDES;FRA;22560;370
16;Maria JEDRUSIK;POL;22145;370
17;Maia FREIRE;ESP;17182;350
18;Apolline ARDOIN;FRA;33210;350
19;Vera SUSANYI;HUN;49542;340
20;Xulia OTERO;ESP;24637;330
21;Belen SOTO;ESP;39342;320
21;Nuria SERRA;ESP;19716;320
23;Jael STUCKI;SUI;27351;315
24;Zuzanna ZEMLA;POL;95974;310
25;Asya Tuana ACAR;TUR;19077;300
26;Hayley LIOW;ENG;46947;295
27;Simay MEHMEDOVA;BUL;16886;280
27;Lucy WANG;SWE;43126;280
29;Weronika JASIULEWICZ;POL;12346;275
29;Simona REPSYTE;LTU;25129;275
31;Laura FODOROVA;SVK;23660;270
32;Julietta DÜBENDORFER;SUI;24496;270
33;Daya VARIANGATTIL;ENG;25061;265
34;Swara SANTOSH KRISHNA;GER;46924;255
35;Romy OLIVA;GER;49259;250
36;Antoaneta DIMITROVA;BUL;33135;250
37;Wiktoria KALETKA;POL;62606;250
37;Mudra MAYEKAR;ENG;28215;250
39;Annika KARMANN;GER;59627;240
40;AgáTa MAIXNEROVÁ;CZE;23531;235
41;Dite KONTRIMAITE;LTU;39678;235
42;Rebecca LO CANE;LUX;37833;230
43;Unni PARIKKA;FIN;56568;215
44;Liepa MURAUSKAITE;LTU;38147;210
45;Hanna SZULSKA;POL;30860;210
46;Fien KAERTS;BEL;27737;210
47;Sara ARENAS;ESP;31616;200
48;Aliz ARGYELAN;HUN;21535;200
48;Hanna STEFKOVICS;HUN;36289;200
50;Elanur TASKIRAN;TUR;18967;200
51;Anna KÁBRTOVÁ;CZE;27671;195
52;Laura JASKOVA;SVK;44494;190
52;Franziska Marie DREES;GER;18594;190
52;Maria Del Pilar CARMONA;ESP;23986;190
55;Lina SCHWOB;SUI;43030;190
55;Krittika ROY;GER;39792;190
55;Mila BORRELLY;FRA;36888;190
58;Helena HUANG;GER;33293;180
59;Eloïse GUGLIELMETTI;LUX;36442;175
60;Leonie EUTENEUER;GER;36269;175
61;Lucia SLINGER;SUI;39142;165
62;Natalia KAROLAK;POL;41941;160
63;Linda TAPAJAKOVA;SVK;40612;160
64;Daria DEMCHYKHINA;LUX;17408;160
64;Lison PREVOST;FRA;22132;160
64;Mahonie PLANTEFEVE;FRA;31516;160
64;Kamila SAKOWICZ;POL;30617;160
64;Gabriela TURSKA;POL;42975;160
69;Lena KONIECZNA;POL;28827;150
70;Zuzanna TURSKA;POL;20802;150
71;Grete VELYKYTE;LTU;60650;150
71;Uma IVANAUSKAITE;LTU;92276;150
71;Gitika VENKATASUBBAIAH;SUI;85783;150
71;Gabija BERZINSKAITE;LTU;46449;150
71;Elija SUNKLADAITE;LTU;39625;150
71;Tilda MULDER FELLENIUS;SWE;43508;150
71;Kotryna UZUPE;SWE;42283;150
78;Jeanne FORTUNE;FRA;31157;145
78;Aimy JOOSEN;FRA;21957;145
78;Aleksandra LOCHOWICZ;POL;43868;145
81;Lisa MOOSBRUGGER;AUT;33304;145
81;Mette KOOL;NED;49166;145
81;Katharina ERTL;AUT;33004;145
84;Judith BINDER;GER;41682;140
85;Joline BRUGGEMAN;NED;22839;140
86;Natasza PUTALA;POL;38253;140
87;Ioli PAPAKYRIACOU;CYP;78317;140
87;Hanna KOCHANSKA;POL;25254;140
89;Lea DIEHL;GER;44595;135
90;Teodora MILIVOJEVIĆ;SLO;36332;135
91;Ines DUVAL-ARNOULD;FRA;20573;135
91;Isabella DENG;GER;30633;135
93;Hedi Zsofia LUJBER;HUN;34948;130
94;Teodora PAVLOVA;BUL;60466;130
94;Carmella Krislin KRUUS;EST;45108;130
94;Mira SUN;GER;13027;130
94;Alice HUANG;SWE;20596;130
94;Maya ALDER;DEN;38898;130
99;Lena MASLANKA;POL;20149;125
99;Hanna WYLEGA;POL;35340;125
99;Antonina CYBULSKA;POL;23492;125
102;Sara BREGAR;SLO;34147;120
103;Sofie MRÁZKOVÁ;CZE;48512;120
104;Lucia SKORKOVSKA;SVK;33399;120
104;Anna BANDO;POL;14780;120
106;Louane BOUSSEAU;FRA;43540;120
107;Viktoria MACEDO NÄSLUND;SWE;28363;120
107;Linn NYSTRÖM;SWE;37231;120
109;Monika MAJEROVÁ;CZE;43255;115
109;Anna PARGAČOVÁ;CZE;42658;115
109;Christina PISSI;CYP;34092;115
