rang;name;nation;member_id;punkte
1;Mutiara MANDALA;ENG;26367;769
2;Weronika JASIULEWICZ;POL;12346;480
3;Laura FODOROVA;SVK;23660;480
4;Carmella Krislin KRUUS;EST;45108;450
5;Hanna SZULSKA;POL;30860;449
6;Lisa MOOSBRUGGER;AUT;33304;444
7;Liliana SARLAYOVA;SVK;43770;400
8;Elza SANDOR;HUN;41590;345
9;Maria POPOV;BUL;15886;340
10;Gaelle DE CUYPER;BEL;20845;310
11;Isabella DENG;GER;30633;300
12;Vedanshi JAIN;ENG;36359;300
13;Eliza LIANG;HUN;40072;290
14;Hanna WYLEGA;POL;35340;285
15;Zuzanna TURSKA;POL;20802;280
16;Maia FREIRE;ESP;17182;274
17;Julietta DÜBENDORFER;SUI;24496;270
18;Swara SANTOSH KRISHNA;GER;46924;265
19;Teodora PAVLOVA;BUL;60466;260
19;Kiara VAR;SUI;22216;260
21;Maria Del Pilar CARMONA;ESP;23986;250
22;Wiktoria KALETKA;POL;62606;250
23;Xulia OTERO;ESP;24637;230
24;Aimy JOOSEN;FRA;21957;230
25;Amelie HAGBERG;SWE;26741;225
26;Daria DEMCHYKHINA;LUX;17408;220
27;Tea REBESCO;CRO;40379;219
28;AgáTa MAIXNEROVÁ;CZE;23531;215
29;Maja PASZEK;POL;36098;215
30;Unni PARIKKA;FIN;56568;210
30;Asya Tuana ACAR;TUR;19077;210
32;Beril OZUBIR;TUR;33422;200
33;Chinmayi KISHOR;ENG;49295;200
34;Lena MASLANKA;POL;20149;195
35;Maja PRANIĆ;CRO;24941;195
36;Belen SOTO;ESP;39342;190
37;Anna KÁBRTOVÁ;CZE;27671;186
38;Lucie DESLANDES;FRA;22560;185
39;Maria JEDRUSIK;POL;22145;180
40;Dite KONTRIMAITE;LTU;39678;175
41;Nuria SERRA;ESP;19716;170
42;Lucia SLINGER;SUI;39142;159
43;Daya VARIANGATTIL;ENG;25061;155
44;Alexia NEDELCU;GER;70240;150
44;Leyla JAMALZADE;AZE;86276;150
46;Teodora MILIVOJEVIĆ;SLO;36332;144
47;Christina MARGARITIDOU;GRE;39903;141
48;Rebecca LO CANE;LUX;37833;140
49;Simay MEHMEDOVA;BUL;16886;140
49;Hayley LIOW;ENG;46947;140
51;Clara MENEGAZZI BRIQUET;FRA;28770;140
52;Liepa MURAUSKAITE;LTU;38147;139
53;Lena GÜTL;GER;36697;130
54;Mila BORRELLY;FRA;36888;130
55;Sara ARENAS;ESP;31616;120
56;Lison PREVOST;FRA;22132;120
56;Lucy WANG;SWE;43126;120
58;Helena HUANG;GER;33293;120
58;Louane BOUSSEAU;FRA;43540;120
60;Hannah SHOCHAN;IRL;44116;120
60;Viktoria MACEDO NÄSLUND;SWE;28363;120
60;Abby Zyi En GAN;ENG;41189;120
63;Simona REPSYTE;LTU;25129;119
64;Vera SUSANYI;HUN;49542;119
65;Sofia KERPLOVÁ;CZE;45028;115
66;Katharina ERTL;AUT;33004;110
66;Krittika ROY;GER;39792;110
66;Kamila SAKOWICZ;POL;30617;110
66;Nidhi SHUKLA;ENG;18598;110
70;Helena ALMEIDA;POR;26057;109
70;Mira SUN;GER;13027;109
72;Mette KOOL;NED;49166;105
73;Mariia SHEVCHUK;UKR;17722;104
74;Franziska Marie DREES;GER;18594;104
75;Yelyzaveta GUSARENKO;UKR;45009;100
75;Alice HUANG;SWE;20596;100
75;Izabela IVANOVA;BUL;17764;100
78;Grete VELYKYTE;LTU;60650;100
78;Elena POPIVANOVA;BUL;60742;100
78;Rosa Storm CALLESEN;DEN;19583;100
81;Jeanne FORTUNE;FRA;31157;95
82;Lea BURAZOR;CRO;49147;94
83;Natalia KAROLAK;POL;41941;93
84;Annika KARMANN;GER;59627;93
85;Eloïse GUGLIELMETTI;LUX;36442;92
86;Antonina CYBULSKA;POL;23492;91
87;Michaela FEDORKOVÁ;CZE;45392;90
87;Sofie MRÁZKOVÁ;CZE;48512;90
89;Ines DUVAL-ARNOULD;FRA;20573;90
90;Monika MAJEROVÁ;CZE;43255;85
90;Mia-Liis MIGUR;EST;23015;85
92;Laura JASKOVA;SVK;44494;81
93;LæRke MOURITSEN;DEN;28236;80
94;Lucia SKORKOVSKA;SVK;33399;77
95;Christina PISSI;CYP;34092;75
96;Sally MOUAI;CZE;22288;70
96;Aleksandra DURAS;POL;21706;70
98;Ivet EDREVA;BUL;27102;70
99;Elanur TASKIRAN;TUR;18967;70
99;Yaelle BARRIER;FRA;22920;70
101;Carolina PALAZZO;AUT;34667;69
102;Soraya Mira NASIR;HUN;10639;66
103;Natasza PUTALA;POL;38253;65
104;Mudra MAYEKAR;ENG;28215;65
104;Leonie EUTENEUER;GER;36269;65
106;Jelena ČOVIĆ;CRO;30604;64
107;Lena KONIECZNA;POL;28827;64
108;Emma JENTGES;LUX;41365;63
109;Zarja ŽLEBNIK;SLO;36308;61
109;Sara BREGAR;SLO;34147;61
111;Mila VRHOVNIK;SLO;17263;61
112;Beril KOCAOSMANOGLU;TUR;34539;60
113;Ada KECECI;TUR;74053;60
113;Elif Naz SISGINOGLU;TUR;57293;60
113;Sofia REINIKAINEN;FIN;43742;60
113;Clara Amalie Hegelund BRUUN;DEN;48153;60
113;April YANG;SWE;35007;60
113;Dilmi ANDURANMULLA VITHANAGE;SWE;17525;60
119;Anna ZIRNWALD;GER;94751;59
119;Wioletta KAMOLA;POL;30726;59
121;Judith BINDER;GER;41682;58
122;Lea DIEHL;GER;44595;57
123;Hedi Zsofia LUJBER;HUN;34948;56
124;Romy OLIVA;GER;49259;55
125;Emile BAJORINAITE;LTU;41981;55
126;Lena KORKUS;POL;44831;55
126;Hanna KOCHANSKA;POL;25254;55
126;Magdalena KAWKA;POL;42663;55
129;Jael STUCKI;SUI;27351;54
129;Aleksandra LOCHOWICZ;POL;43868;54
131;Tita STRUŠNIK;SLO;25814;50
132;Antoaneta DIMITROVA;BUL;33135;50
133;Lilly RADEVA;BUL;34070;50
133;Mante JABLONSKYTE;LTU;29316;50
135;Elena Andreea COSTACHE;ROU;35772;50
135;Yaghmur GULIYEVA;AZE;20151;50
135;Klaudia WRZESNIEWSKA;POL;36072;50
135;Greta CHOI;ENG;36274;50
135;Anastasiia SVACHII;UKR;31366;50
135;Samara BRITTO;WAL;37435;50
141;Dominika BURCZYNSKA;POL;41251;49
142;Sarah MÜLLER;GER;48059;48
143;Iremsu TUNA;TUR;37661;45
143;Apolline ARDOIN;FRA;33210;45
143;Fien KAERTS;BEL;27737;45
143;Clara STORK;GER;41036;45
143;Julie RUMLOVÁ;CZE;26950;45
143;Elin THÜRLEMANN;SUI;23767;45
149;Maira BUCKEL;GER;39006;44
150;Joline BRUGGEMAN;NED;22839;43
151;Anna BANDO;POL;14780;40
151;Rosie Yirou WU;AUT;38632;40
153;Deva GARCIA;ESP;45507;40
153;Mejse Marie WENDEL;DEN;32331;40
153;Geethika Sai KURRA;BEL;20589;40
153;Ula BUDRYTE;LTU;16841;40
153;Barbora TOMÁŠKOVÁ;CZE;19054;40
153;Simay Gunes TUNCER;TUR;35448;40
159;Berra TASDEMIR;TUR;97397;40
159;Simone Aoki PIHL;DEN;14375;40
159;Ilknur SEZER;TUR;27404;40
159;Anastassya TATRANOVA;FRA;18586;40
159;Varshini MANIKANDAN;NOR;33556;40
159;Sennova LINDLAND;NOR;18596;40
159;Despoina CHOTZOUDI;GRE;38647;40
159;Emili MURUMAA;EST;27252;40
159;Hayrulnisa CAKIR;TUR;43453;40
159;Mathilde MOREL;FRA;19401;40
169;Kristýna GERBELOVÁ;CZE;44021;39
170;Julia SZYMANIAK;POL;35181;39
171;Linda TAPAJAKOVA;SVK;40612;37
172;Ugne LADYGAITE;LTU;47209;36
